iteration,absolute,relative
0.000000000000000000e+00,3.614012372525791648e+02,1.000000000000000000e+00
1.000000000000000000e+00,2.718317069438147087e+02,7.521604215035784247e-01
2.000000000000000000e+00,2.172042581858978849e+02,6.010058511064153564e-01
3.000000000000000000e+00,1.157101065027954832e+02,3.201707536544127208e-01
4.000000000000000000e+00,1.884085754993826356e+01,5.213279758854451329e-02
5.000000000000000000e+00,1.431046505395549284e-01,3.959716674670394915e-04
6.000000000000000000e+00,9.880129326522772999e-06,2.733839375214331295e-08
7.000000000000000000e+00,3.638243852614889831e-12,1.006704869156870947e-14
