iteration,absolute,relative
0.000000000000000000e+00,4.068921412747976660e+02,1.000000000000000000e+00
1.000000000000000000e+00,4.320052671179333714e+01,1.061719368097048949e-01
2.000000000000000000e+00,1.237078590657532562e+00,3.040310846952588852e-03
3.000000000000000000e+00,4.447667009491338037e-03,1.093082553906484124e-05
4.000000000000000000e+00,7.211610376536850079e-09,1.772364134127238966e-11
