solver,n_increments,n_dof,n_patches,n_iter_total,time_total_mean_s,time_total_std_s,time_per_iter_mean_s,time_per_iter_std_s,order_of_conv,order_label,converged,final_res_norm,error
anderson,5,50,16,30,4.810747388983145,0.023407373262378805,0.16035824629943818,0.0007802457754126284,1.1827743708419598,linear,True,0.00036353592991202673,
broyden,5,50,16,25,9.009194152623726,0.3319510942525003,0.360367766104949,0.013278043770100008,2.517467035316323,quadratic,True,6.217757873565254e-05,
damped_picard,5,50,16,37,4.9496728890420245,0.017430355542540937,0.13377494294708175,0.00047109069033894195,0.982686890426101,linear,True,0.0005178035741963734,
jfnk,5,50,16,29,8.751277069289548,0.27372314931683184,0.3017681748030879,0.009438729286787309,nan,?,True,5.773400450681585e-06,
newton_raphson,5,50,16,23,20.375518125016242,1.1561996631398133,0.8858920923920105,0.050269550571296236,1.8809651322902639,quadratic,True,3.3312801837477686e-12,
rand_subspace_newton,5,50,16,19,19.89583209735186,0.6536632868586748,1.047149057755361,0.034403330887298696,nan,?,True,3.188042209816626e-05,
