solver,problem,n_dof,n_increments,n_iter_total,time_total_mean_s,time_total_std_s,time_per_iter_mean_s,time_per_iter_std_s,order_of_conv,order_label,converged,final_res_norm
anderson,elastoplastic_nlh_4x4,50,10,27,0.11815008341800422,0.0007750178622806523,0.004375929015481637,2.8704365269653718e-05,1.4152795629156203,superlinear,True,1.750616943203978e-05
broyden,elastoplastic_nlh_4x4,50,10,25,0.10877581636887043,0.0028085189236363908,0.0043510326547548175,0.0001123407569454555,nan,?,True,1.7506170392518425e-05
damped_picard,elastoplastic_nlh_4x4,50,10,218,0.8605084584094584,0.03566663960051643,0.003947286506465406,0.00016360843853447906,1.0000000001308802,linear,True,1.7506188191543083e-05
jfnk,elastoplastic_nlh_4x4,50,10,43,2.426176183205098,0.014480683706191499,0.056422701935002276,0.00033676008619049855,nan,?,True,0.0009314653850571036
newton_raphson,elastoplastic_nlh_4x4,50,10,30,0.15493227501865475,0.014519824892268706,0.005164409167288492,0.00048399416307562333,nan,?,True,1.0305657110318043e-13
rand_subspace_newton,elastoplastic_nlh_4x4,50,10,22,2.9216672085458413,0.3193474847971049,0.13280305493390188,0.014515794763504763,nan,?,True,1.7507887330747152e-05
