iteration,absolute,relative
0.000000000000000000e+00,1.010689573549748820e+04,1.000000000000000000e+00
1.000000000000000000e+00,4.747467757779524504e+02,4.697256093288313533e-02
2.000000000000000000e+00,1.163748111274634844e+01,1.151439711787382051e-03
3.000000000000000000e+00,7.968127946396693639e-01,7.883852920744988178e-05
4.000000000000000000e+00,4.801106842156316334e-02,4.750327863078517444e-06
5.000000000000000000e+00,4.645114102605553061e-03,4.595984983095215789e-07
6.000000000000000000e+00,3.201111024298358113e-04,3.167254425169739076e-08
7.000000000000000000e+00,3.093899430367435589e-05,3.061176756282373647e-09
